classifier,featuresnum,features,metrics,value
kNN,249,90,f1,0.472612247
kNN,258,92,f1,0.545966213
kNN,260,94,f1,0.545513438
kNN,266,96,f1,0.595352317
kNN,271,98,f1,0.614648346
kNN,277,100,f1,0.615884806
Ridge,5,2,f1,0.428921644
Ridge,11,4,f1,0.504952159
Ridge,17,6,f1,0.539398681
Ridge,24,8,f1,0.528391724
Ridge,27,10,f1,0.543426952
Ridge,33,12,f1,0.578370379
Ridge,40,14,f1,0.583059028
Ridge,44,16,f1,0.586771312
Ridge,49,18,f1,0.584672115
Ridge,55,20,f1,0.615249984
Ridge,61,22,f1,0.620927208
Ridge,69,24,f1,0.622354001
Ridge,72,26,f1,0.62614541
Ridge,79,28,f1,0.626863683
Ridge,85,30,f1,0.629817959
Ridge,88,32,f1,0.639332119
Ridge,94,34,f1,0.636041816
Ridge,99,36,f1,0.631853234
Ridge,105,38,f1,0.67544246
Ridge,110,40,f1,0.696850956
Ridge,116,42,f1,0.685502691
Ridge,121,44,f1,0.683448945
Ridge,127,46,f1,0.682810153
Ridge,132,48,f1,0.679708435
Ridge,138,50,f1,0.66976737
Ridge,144,52,f1,0.712638557
Ridge,149,54,f1,0.715857682
Ridge,155,56,f1,0.711288479
Ridge,160,58,f1,0.708652384
Ridge,166,60,f1,0.702775802
Ridge,171,62,f1,0.687788966
Ridge,178,64,f1,0.683387007
Ridge,184,66,f1,0.682925836
Ridge,188,68,f1,0.683273412
Ridge,193,70,f1,0.686408407
Ridge,202,72,f1,0.695636595
Ridge,205,74,f1,0.69703847
Ridge,210,76,f1,0.691341276
Ridge,217,78,f1,0.692742273
Ridge,221,80,f1,0.691428503
Ridge,229,82,f1,0.679940424
Ridge,233,84,f1,0.688723005
Ridge,238,86,f1,0.66894816
Ridge,247,88,f1,0.669474616
Ridge,249,90,f1,0.668028308
Ridge,258,92,f1,0.668561001
Ridge,260,94,f1,0.670338073
Ridge,266,96,f1,0.667666165
Ridge,271,98,f1,0.665525584
Ridge,277,100,f1,0.66539215
SVM,5,2,f1,0.404940074
SVM,11,4,f1,0.492536337
SVM,17,6,f1,0.49870673
SVM,24,8,f1,0.530156413
SVM,27,10,f1,0.496740838
SVM,33,12,f1,0.594318535
SVM,40,14,f1,0.544857888
SVM,44,16,f1,0.53606551
SVM,49,18,f1,0.516608075
SVM,55,20,f1,0.496265517
SVM,61,22,f1,0.557358555
SVM,69,24,f1,0.584955321
SVM,72,26,f1,0.57521681
SVM,79,28,f1,0.535512403
SVM,85,30,f1,0.55761635
SVM,88,32,f1,0.553487189
SVM,94,34,f1,0.529434135
SVM,99,36,f1,0.51306097
SVM,105,38,f1,0.589508895
SVM,110,40,f1,0.587291493
SVM,116,42,f1,0.585992632
SVM,121,44,f1,0.595675847
SVM,127,46,f1,0.581264477
SVM,132,48,f1,0.578268093
SVM,138,50,f1,0.559968401
SVM,144,52,f1,0.578161554
SVM,149,54,f1,0.578672375
SVM,155,56,f1,0.559667611
SVM,160,58,f1,0.557063547
SVM,166,60,f1,0.565167532
SVM,171,62,f1,0.548757118
SVM,178,64,f1,0.538331685
SVM,184,66,f1,0.541423511
SVM,188,68,f1,0.537639865
SVM,193,70,f1,0.536465431
SVM,202,72,f1,0.529416864
SVM,205,74,f1,0.536073177
SVM,210,76,f1,0.536734815
