comb,Options,run,f1
3class_NB,Option3,16,0.823206677
3class_NB,Option3,17,0.826789227
3class_NB,Option3,18,0.827990874
3class_NB,Option3,19,0.825451545
3class_NB,Option3,20,0.789797965
3class_NB,Option3,21,0.861398547
3class_NB,Option3,22,0.865155237
3class_NB,Option3,23,0.845158891
3class_NB,Option3,24,0.892456327
3class_NB,Option3,25,0.824985561
3class_NB,Option3,26,0.881701387
3class_NB,Option3,27,0.854058269
3class_NB,Option3,28,0.840586365
3class_NB,Option3,29,0.82172359
3class_NB,Option3,30,0.839034152
3class_NB,Option3,31,0.850273743
3class_NB,Option3,32,0.830356184
3class_NB,Option3,33,0.851274956
3class_NB,Option3,34,0.870183791
3class_NB,Option3,35,0.874038978
3class_NB,Option3,36,0.832526457
3class_NB,Option3,37,0.849657917
3class_NB,Option3,38,0.884353741
3class_NB,Option3,39,0.827955909
3class_NB,Option3,40,0.837774079
3class_NB,Option3,41,0.855495724
3class_NB,Option3,42,0.848422443
3class_NB,Option3,43,0.849557947
3class_NB,Option3,44,0.8667634
3class_NB,Option3,45,0.872301864
3class_NB,Option3,46,0.869682055
3class_NB,Option3,47,0.865683182
3class_NB,Option3,48,0.857256367
3class_NB,Option3,49,0.814132739
3class_NB,Option3,50,0.820800726
3class_NB,Option4,1,0.895909784
3class_NB,Option4,2,0.865246718
3class_NB,Option4,3,0.864025489
3class_NB,Option4,4,0.861220826
3class_NB,Option4,5,0.847303459
3class_NB,Option4,6,0.880298008
3class_NB,Option4,7,0.853245742
3class_NB,Option4,8,0.805302254
3class_NB,Option4,9,0.863404585
3class_NB,Option4,10,0.846427969
3class_NB,Option4,11,0.890972841
3class_NB,Option4,12,0.837687292
3class_NB,Option4,13,0.870798586
3class_NB,Option4,14,0.874536641
3class_NB,Option4,15,0.869490134
3class_NB,Option4,16,0.854856365
3class_NB,Option4,17,0.836287306
3class_NB,Option4,18,0.881507908
3class_NB,Option4,19,0.879566982
3class_NB,Option4,20,0.86112391
3class_NB,Option4,21,0.849766495
3class_NB,Option4,22,0.908027523
3class_NB,Option4,23,0.827955222
3class_NB,Option4,24,0.865535837
3class_NB,Option4,25,0.838336728
3class_NB,Option4,26,0.866969014
3class_NB,Option4,27,0.872085509
3class_NB,Option4,28,0.90027626
3class_NB,Option4,29,0.895662949
3class_NB,Option4,30,0.833540604
3class_NB,Option4,31,0.877277573
3class_NB,Option4,32,0.836848073
3class_NB,Option4,33,0.84900789
3class_NB,Option4,34,0.897826848
3class_NB,Option4,35,0.831827371
3class_NB,Option4,36,0.864473275
3class_NB,Option4,37,0.857053462
3class_NB,Option4,38,0.879396237
3class_NB,Option4,39,0.904132666
3class_NB,Option4,40,0.877007264
3class_NB,Option4,41,0.892814301
3class_NB,Option4,42,0.886061205
3class_NB,Option4,43,0.927929908
3class_NB,Option4,44,0.883293223
3class_NB,Option4,45,0.926597443
3class_NB,Option4,46,0.830353303
3class_NB,Option4,47,0.880779129
3class_NB,Option4,48,0.900994493
3class_NB,Option4,49,0.839444515
3class_NB,Option4,50,0.889804721
3class_NB,Option5,1,0.892697291
3class_NB,Option5,2,0.87589279
3class_NB,Option5,3,0.894112861
3class_NB,Option5,4,0.871603856
3class_NB,Option5,5,0.826173327
3class_NB,Option5,6,0.874245336
3class_NB,Option5,7,0.855574947
3class_NB,Option5,8,0.809940485
3class_NB,Option5,9,0.851293028
3class_NB,Option5,10,0.838251331
3class_NB,Option5,11,0.894218517
3class_NB,Option5,12,0.852861793
3class_NB,Option5,13,0.872295486
3class_NB,Option5,14,0.880796333
3class_NB,Option5,15,0.886021222
3class_NB,Option5,16,0.865701236
3class_NB,Option5,17,0.831769816
3class_NB,Option5,18,0.866149832
3class_NB,Option5,19,0.870160605
3class_NB,Option5,20,0.879360785
3class_NB,Option5,21,0.841374916
3class_NB,Option5,22,0.901089828
3class_NB,Option5,23,0.827972339
3class_NB,Option5,24,0.869376588
3class_NB,Option5,25,0.852448467
3class_NB,Option5,26,0.887045664
3class_NB,Option5,27,0.870963242
3class_NB,Option5,28,0.878182692
3class_NB,Option5,29,0.888671875
3class_NB,Option5,30,0.863137057
3class_NB,Option5,31,0.869918898
3class_NB,Option5,32,0.851258482
3class_NB,Option5,33,0.857302653
3class_NB,Option5,34,0.904818411
3class_NB,Option5,35,0.834261184
3class_NB,Option5,36,0.849472474
3class_NB,Option5,37,0.825514909
3class_NB,Option5,38,0.880577712
3class_NB,Option5,39,0.884329937
3class_NB,Option5,40,0.907453552
3class_NB,Option5,41,0.873353305
3class_NB,Option5,42,0.883039865
3class_NB,Option5,43,0.908959662
3class_NB,Option5,44,0.844935528
3class_NB,Option5,45,0.902475412
3class_NB,Option5,46,0.830353303
3class_NB,Option5,47,0.874584714
3class_NB,Option5,48,0.874694178
3class_NB,Option5,49,0.839371185
3class_NB,Option5,50,0.882845682
