Options,run,f5,f1,,,,,,,,,,
NB,19,0.909015,0.905182,,,,,,,,,,
NB,20,0.913606,0.909052,,,,,,,,,,
NB,21,0.909927,0.90676,,,,,,,,,,
NB,22,0.904159,0.900235,,,,,,,,,,
NB,23,0.904721,0.90162,,,,,,,,,,
NB,24,0.901803,0.898749,,,,,,,,,,
NB,25,0.907963,0.903604,,,,,,,,,,
NB,26,0.915042,0.912888,,,,,,,,,,
NB,27,0.901647,0.898172,,,,,,,,,,
NB,28,0.899063,0.896642,,,,,,,,,,
NB,29,0.907851,0.904965,,,,,,,,,,
NB,30,0.914298,0.909505,,,,,,,,,,
NB,31,0.906512,0.900711,,,,,,,,,,
NB,32,0.906034,0.90289,,,,,,,,,,
NB,33,0.903348,0.900705,,,,,,,,,,
NB,34,0.913247,0.90883,,,,,,,,,,
NB,35,0.908092,0.904673,,,,,,,,,,
NB,36,0.908749,0.90357,,,,,,,,,,
NB,37,0.909247,0.905869,,,,,,,,,,
NB,38,0.911407,0.9087,,,,,,,,,,
NB,39,0.90818,0.906153,,,,,,,,,,
NB,40,0.917697,0.913031,,,,,,,,,,
NB,41,0.907104,0.904501,,,,,,,,,,
NB,42,0.90511,0.902279,,,,,,,,,,
NB,43,0.911463,0.907812,,,,,,,,,,
NB,44,0.919463,0.915127,,,,,,,,,,
NB,45,0.911407,0.907171,,,,,,,,,,
NB,46,0.908653,0.904501,,,,,,,,,,
NB,47,0.912388,0.908248,,,,,,,,,,
NB,48,0.902637,0.899316,,,,,,,,,,
NB,49,0.902971,0.900496,,,,,,,,,,
NB,50,0.907171,0.903064,,,,,,,,,,
Ridge,1,0.913875,0.910194,Overall precision:  0.91613 (+/- 0.01429),,,,LSVM,1,0.910454,0.906605,Overall precision:  0.90968 (+/- 0.01519),
Ridge,2,0.908348,0.90378,Overall recall:     0.90374 (+/- 0.01594),,,,LSVM,2,0.905213,0.90085,Overall recall:     0.89690 (+/- 0.01690),
Ridge,3,0.914851,0.909376,Overall f1-score:   0.90989,,,,LSVM,3,0.912308,0.906799,Overall f1-score:   0.90325,
Ridge,4,0.914992,0.911886,Overall f0.5-score: 0.91362,,,,LSVM,4,0.911847,0.908469,Overall f0.5-score: 0.90710,
Ridge,5,0.913408,0.909855,112.227,,,,LSVM,5,0.903108,0.899546,41.43600011,
Ridge,6,0.915365,0.911118,0.90988836,0.001949064,,,LSVM,6,0.906803,0.902354,0.90324572,0.001911678
Ridge,7,0.915317,0.911557,0.91362102,0.002088002,,,LSVM,7,0.905004,0.900745,0.90709672,0.002062666
Ridge,8,0.91275,0.908497,,,,,LSVM,8,0.904291,0.900291,,
Ridge,9,0.91687,0.913076,,,,,LSVM,9,0.90577,0.901764,,
Ridge,10,0.91932,0.914568,,,,,LSVM,10,0.911499,0.907784,,
Ridge,11,0.912201,0.908651,,,,,LSVM,11,0.907587,0.904334,,
Ridge,12,0.921144,0.91665,,,,,LSVM,12,0.910244,0.905461,,
Ridge,13,0.911777,0.907512,,,,,LSVM,13,0.905226,0.901958,,
Ridge,14,0.910657,0.906249,,,,,LSVM,14,0.909838,0.904268,,
Ridge,15,0.913315,0.909873,,,,,LSVM,15,0.914041,0.910323,,
Ridge,16,0.920373,0.916197,,,,,LSVM,16,0.913929,0.909239,,
Ridge,17,0.917967,0.91279,,,,,LSVM,17,0.903464,0.898878,,
Ridge,18,0.909412,0.90644,,,,,LSVM,18,0.904711,0.901539,,
Ridge,19,0.914166,0.910363,,,,,LSVM,19,0.906753,0.901815,,
Ridge,20,0.918951,0.915341,,,,,LSVM,20,0.906438,0.902178,,
Ridge,21,0.912501,0.910804,,,,,LSVM,21,0.894696,0.892882,,
Ridge,22,0.915546,0.911737,,,,,LSVM,22,0.903404,0.900752,,
Ridge,23,0.910088,0.906428,,,,,LSVM,23,0.905173,0.90095,,
Ridge,24,0.911757,0.907844,,,,,LSVM,24,0.908397,0.903798,,
Ridge,25,0.91017,0.906923,,,,,LSVM,25,0.903902,0.900088,,
Ridge,26,0.913577,0.910982,,,,,LSVM,26,0.910551,0.908622,,
Ridge,27,0.913437,0.909429,,,,,LSVM,27,0.908923,0.905631,,
Ridge,28,0.904834,0.901147,,,,,LSVM,28,0.902182,0.898996,,
Ridge,29,0.910337,0.906038,,,,,LSVM,29,0.905943,0.901327,,
Ridge,30,0.913245,0.909842,,,,,LSVM,30,0.904246,0.900351,,
Ridge,31,0.911486,0.907282,,,,,LSVM,31,0.907844,0.903556,,
Ridge,32,0.910087,0.907351,,,,,LSVM,32,0.904546,0.901941,,
Ridge,33,0.904805,0.90209,,,,,LSVM,33,0.901368,0.898971,,
Ridge,34,0.912217,0.907164,,,,,LSVM,34,0.910734,0.905255,,
Ridge,35,0.913774,0.909219,,,,,LSVM,35,0.903519,0.899913,,
Ridge,36,0.918792,0.913721,,,,,LSVM,36,0.907219,0.901632,,
Ridge,37,0.913,0.910182,,,,,LSVM,37,0.905579,0.902152,,
Ridge,38,0.913432,0.910425,,,,,LSVM,38,0.912633,0.909437,,
Ridge,39,0.918735,0.915182,,,,,LSVM,39,0.916968,0.913087,,
Ridge,40,0.916117,0.912559,,,,,LSVM,40,0.910358,0.906534,,
Ridge,41,0.904467,0.902911,,,,,LSVM,41,0.90302,0.900526,,
Ridge,42,0.915027,0.911428,,,,,LSVM,42,0.910801,0.906833,,
Ridge,43,0.918862,0.915866,,,,,LSVM,43,0.910083,0.906968,,
Ridge,44,0.921394,0.917805,,,,,LSVM,44,0.912248,0.907704,,
Ridge,45,0.919406,0.915091,,,,,LSVM,45,0.909396,0.904949,,
Ridge,46,0.906092,0.903406,,,,,LSVM,46,0.903749,0.901483,,
Ridge,47,0.919043,0.914322,,,,,LSVM,47,0.906751,0.902284,,
Ridge,48,0.911276,0.907596,,,,,LSVM,48,0.907484,0.902801,,
Ridge,49,0.909763,0.906708,,,,,LSVM,49,0.899384,0.896817,,
Ridge,50,0.912725,0.908963,,,,,LSVM,50,0.905207,0.900846,,
