classifier,featuresnum,features,metrics,value
LSVM,2364,80,f0.5,0.904976
LSVM,2421,82,f0.5,0.904848
LSVM,2480,84,f0.5,0.904296
LSVM,2539,86,f0.5,0.90435
LSVM,2600,88,f0.5,0.903898
LSVM,2663,90,f0.5,0.90319
LSVM,2716,92,f0.5,0.903549
LSVM,2776,94,f0.5,0.90326
LSVM,2834,96,f0.5,0.903594
LSVM,2897,98,f0.5,0.904082
LSVM,2953,100,f0.5,0.903662
NB,59,2,f1,0.43214
NB,118,4,f1,0.606604
NB,177,6,f1,0.715193
NB,236,8,f1,0.784027
NB,295,10,f1,0.829623
NB,354,12,f1,0.865483
NB,413,14,f1,0.880966
NB,472,16,f1,0.890714
NB,531,18,f1,0.893758
NB,590,20,f1,0.894157
NB,650,22,f1,0.892601
NB,710,24,f1,0.895653
NB,770,26,f1,0.902971
NB,826,28,f1,0.899491
NB,885,30,f1,0.895558
NB,944,32,f1,0.90359
NB,1004,34,f1,0.902293
NB,1063,36,f1,0.905103
NB,1122,38,f1,0.905688
NB,1181,40,f1,0.908331
NB,1240,42,f1,0.907774
NB,1299,44,f1,0.90563
NB,1358,46,f1,0.907903
NB,1417,48,f1,0.904998
NB,1476,50,f1,0.905451
NB,1535,52,f1,0.906685
NB,1595,54,f1,0.902342
NB,1653,56,f1,0.902138
NB,1715,58,f1,0.900202
NB,1771,60,f1,0.898986
NB,1830,62,f1,0.897776
NB,1889,64,f1,0.898735
NB,1948,66,f1,0.897886
NB,2008,68,f1,0.896317
NB,2067,70,f1,0.895076
NB,2126,72,f1,0.895314
NB,2185,74,f1,0.893972
NB,2244,76,f1,0.889686
NB,2306,78,f1,0.890081
NB,2364,80,f1,0.88502
NB,2421,82,f1,0.885094
NB,2480,84,f1,0.883771
NB,2539,86,f1,0.882291
NB,2600,88,f1,0.882016
NB,2663,90,f1,0.877546
NB,2716,92,f1,0.876765
NB,2776,94,f1,0.876541
NB,2834,96,f1,0.876246
NB,2897,98,f1,0.875281
NB,2953,100,f1,0.873729
kNN,59,2,f1,0.611227
kNN,118,4,f1,0.610016
kNN,177,6,f1,0.614516
kNN,236,8,f1,0.615387
kNN,295,10,f1,0.62228
kNN,354,12,f1,0.652821
kNN,413,14,f1,0.62499
kNN,472,16,f1,0.60863
kNN,531,18,f1,0.588376
kNN,590,20,f1,0.579539
kNN,650,22,f1,0.593297
kNN,710,24,f1,0.577573
kNN,770,26,f1,0.58038
kNN,826,28,f1,0.562927
kNN,885,30,f1,0.566086
kNN,944,32,f1,0.562181
kNN,1004,34,f1,0.565602
kNN,1063,36,f1,0.55701
kNN,1122,38,f1,0.559269
kNN,1181,40,f1,0.552552
kNN,1240,42,f1,0.57045
kNN,1299,44,f1,0.570492
kNN,1358,46,f1,0.572653
kNN,1417,48,f1,0.577979
kNN,1476,50,f1,0.57788
kNN,1535,52,f1,0.584341
kNN,1595,54,f1,0.622884
kNN,1653,56,f1,0.644457
kNN,1715,58,f1,0.643811
kNN,1771,60,f1,0.657459
kNN,1830,62,f1,0.660592
kNN,1889,64,f1,0.688963
kNN,1948,66,f1,0.709684
kNN,2008,68,f1,0.718217
kNN,2067,70,f1,0.72244
kNN,2126,72,f1,0.738661
kNN,2185,74,f1,0.753025
kNN,2244,76,f1,0.782204
kNN,2306,78,f1,0.7912
kNN,2364,80,f1,0.8104
kNN,2421,82,f1,0.832056
kNN,2480,84,f1,0.844316
kNN,2539,86,f1,0.839248
kNN,2600,88,f1,0.856762
kNN,2663,90,f1,0.863039
kNN,2716,92,f1,0.869829
kNN,2776,94,f1,0.876985
kNN,2834,96,f1,0.877687
kNN,2897,98,f1,0.877616
kNN,2953,100,f1,0.87867
Ridge,59,2,f1,0.491241
Ridge,118,4,f1,0.579195
Ridge,177,6,f1,0.71402
Ridge,236,8,f1,0.796123
Ridge,295,10,f1,0.829725
Ridge,354,12,f1,0.876414
Ridge,413,14,f1,0.886248
Ridge,472,16,f1,0.895281
Ridge,531,18,f1,0.902272
Ridge,590,20,f1,0.9066
Ridge,650,22,f1,0.905106
Ridge,710,24,f1,0.904889
Ridge,770,26,f1,0.906871
Ridge,826,28,f1,0.909912
Ridge,885,30,f1,0.907227
Ridge,944,32,f1,0.910667
Ridge,1004,34,f1,0.911145
Ridge,1063,36,f1,0.912165
Ridge,1122,38,f1,0.913684
Ridge,1181,40,f1,0.910505
Ridge,1240,42,f1,0.909812
Ridge,1299,44,f1,0.908477
Ridge,1358,46,f1,0.910611
Ridge,1417,48,f1,0.908111
Ridge,1476,50,f1,0.907359
Ridge,1535,52,f1,0.908306
Ridge,1595,54,f1,0.907238
Ridge,1653,56,f1,0.907205
Ridge,1715,58,f1,0.907713
Ridge,1771,60,f1,0.906439
Ridge,1830,62,f1,0.907189
Ridge,1889,64,f1,0.902216
Ridge,1948,66,f1,0.902501
Ridge,2008,68,f1,0.903556
Ridge,2067,70,f1,0.902927
Ridge,2126,72,f1,0.901928
Ridge,2185,74,f1,0.902404
Ridge,2244,76,f1,0.901898
Ridge,2306,78,f1,0.902303
Ridge,2364,80,f1,0.901005
Ridge,2421,82,f1,0.901497
Ridge,2480,84,f1,0.901441
Ridge,2539,86,f1,0.901486
Ridge,2600,88,f1,0.901612
Ridge,2663,90,f1,0.901032
Ridge,2716,92,f1,0.900751
Ridge,2776,94,f1,0.901168
Ridge,2834,96,f1,0.901324
Ridge,2897,98,f1,0.901509
Ridge,2953,100,f1,0.901463
SVM,59,2,f1,0.600369
SVM,118,4,f1,0.680608
SVM,177,6,f1,0.752918
SVM,236,8,f1,0.816156
SVM,295,10,f1,0.840039
SVM,354,12,f1,0.860614
SVM,413,14,f1,0.869282
SVM,472,16,f1,0.870899
SVM,531,18,f1,0.871325
SVM,590,20,f1,0.873535
SVM,650,22,f1,0.868906
SVM,710,24,f1,0.871581
SVM,770,26,f1,0.874258
SVM,826,28,f1,0.875254
SVM,885,30,f1,0.880754
SVM,944,32,f1,0.883237
SVM,1004,34,f1,0.879601
SVM,1063,36,f1,0.87827
